,Gene.stable.ID,HGNC.symbol
646,ENSG00000269516,CYP4F23P
647,ENSG00000234992,GPR53P
648,ENSG00000235666,SUMO2P1
649,ENSG00000231679,HLA-DRB3
650,ENSG00000099985,OSM
651,ENSG00000172638,EFEMP2
652,ENSG00000167202,TBC1D2B
653,ENSG00000101158,NELFCD
654,ENSG00000266227,NPM1P2
655,ENSG00000245870,LINC00682
656,ENSG00000248505,LINC02380
657,ENSG00000122687,MRM2
659,ENSG00000237621,OR9A1P
661,ENSG00000236511,LINC01231
664,ENSG00000101463,SYNDIG1
666,ENSG00000231565,NEK2P2
667,ENSG00000230251,PHBP4
668,ENSG00000278143,NF1P7
670,ENSG00000188451,SRP72P2
672,ENSG00000278062,ZNF251
674,ENSG00000130338,TULP4
675,ENSG00000172673,THEMIS
676,ENSG00000189127,ANKRD34B
677,ENSG00000163155,LYSMD1
681,ENSG00000167483,NIBAN3
683,ENSG00000002822,MAD1L1
684,ENSG00000137393,RNF144B
685,ENSG00000251106,ABITRAMP1
686,ENSG00000173988,LRRC63
687,ENSG00000177706,FAM20C
688,ENSG00000116288,PARK7
689,ENSG00000139180,NDUFA9
690,ENSG00000163157,TMOD4
691,ENSG00000144278,GALNT13
693,ENSG00000274493,MRPS17P5
696,ENSG00000225067,RPL23AP2
698,ENSG00000164465,DCBLD1
700,ENSG00000122585,NPY
702,ENSG00000096395,MLN
707,ENSG00000169717,ACTRT2
710,ENSG00000260439,LMF1-AS1
714,ENSG00000142634,EFHD2
715,ENSG00000178878,APOLD1
716,ENSG00000260807,CEROX1
718,ENSG00000283408,MIR548A1HG
722,ENSG00000261143,ADAMTS7P3
723,ENSG00000137745,MMP13
724,ENSG00000087884,AAMDC
725,ENSG00000261097,LINC00563
728,ENSG00000275083,KIR3DL2
732,ENSG00000270296,STX8P1
734,ENSG00000235072,ARNILA
736,ENSG00000213782,DDX47
738,ENSG00000238152,OR7E140P
741,ENSG00000187048,CYP4A11
742,ENSG00000196209,SIRPB2
743,ENSG00000214487,OR7E148P
744,ENSG00000251366,DBIP2
745,ENSG00000188811,NHLRC3
747,ENSG00000177586,OR7E149P
748,ENSG00000251221,LINC01337
750,ENSG00000165912,PACSIN3
752,ENSG00000119927,GPAM
753,ENSG00000276940,PLCE1P1
754,ENSG00000215440,NPEPL1
755,ENSG00000214973,CHCHD3P3
756,ENSG00000205846,CLEC6A
757,ENSG00000255276,RRM1-AS1
758,ENSG00000103227,LMF1
759,ENSG00000167325,RRM1
760,ENSG00000225159,NPM1P39
761,ENSG00000139985,ADAM21
762,ENSG00000158122,PRXL2C
763,ENSG00000206240,HLA-DRB1
764,ENSG00000249346,LINC01016
769,ENSG00000010219,DYRK4
772,ENSG00000047932,GOPC
774,ENSG00000112697,TMEM30A
775,ENSG00000088833,NSFL1C
779,ENSG00000134007,ADAM20
780,ENSG00000156869,FRRS1
782,ENSG00000198203,SULT1C2
783,ENSG00000276781,CHGA
784,ENSG00000110660,SLC35F2
785,ENSG00000106665,CLIP2
786,ENSG00000259158,ADAM20P1
787,ENSG00000111679,PTPN6
790,ENSG00000227672,RPL3P2
791,ENSG00000225403,WASF5P
793,ENSG00000225029,USP8P1
794,ENSG00000273344,PAXIP1-AS1
795,ENSG00000224435,NF1P6
796,ENSG00000228964,HLA-B
797,ENSG00000169297,NR0B1
800,ENSG00000257853,MED15P1
801,ENSG00000170236,USP50
804,ENSG00000214823,NXT1P1
805,ENSG00000172732,MUS81
809,ENSG00000278788,SBNO2
811,ENSG00000183722,LHFPL6
813,ENSG00000234218,MICB
814,ENSG00000033178,UBA6
816,ENSG00000254995,STX16-NPEPL1
820,ENSG00000219703,RAP1BP3
823,ENSG00000169045,HNRNPH1
824,ENSG00000047936,ROS1
825,ENSG00000125037,EMC3
826,ENSG00000151079,KCNA6
828,ENSG00000255474,GAU1
829,ENSG00000177133,PRDM16-DT
830,ENSG00000124222,STX16
832,ENSG00000130035,GALNT8
833,ENSG00000068615,REEP1
838,ENSG00000204359,CFB
840,ENSG00000268101,CYP2G2P
841,ENSG00000227343,RPL15P1
842,ENSG00000144233,AMMECR1L
843,ENSG00000282624,TRBV3-1
844,ENSG00000240821,RPL9P25
846,ENSG00000275486,KIR3DL1
847,ENSG00000075131,TIPIN
848,ENSG00000244053,RPL13AP2
849,ENSG00000258392,RPA2P1
850,ENSG00000214903,RPS15AP3
851,ENSG00000224793,HLA-DQB3
852,ENSG00000139915,MDGA2
854,ENSG00000278574,ZNHIT3
855,ENSG00000149474,KAT14
856,ENSG00000070061,ELP1
857,ENSG00000228845,MTCO3P1
859,ENSG00000231677,HLA-DQB1-AS1
861,ENSG00000225990,SNRPEP7
863,ENSG00000197532,OR6Y1
864,ENSG00000257473,HLA-DQA2
870,ENSG00000157021,FAM92A1P1
873,ENSG00000144554,FANCD2
874,ENSG00000077984,CST7
875,ENSG00000111254,AKAP3
876,ENSG00000255833,TIFAB
877,ENSG00000206237,HLA-DQB1
878,ENSG00000251380,DCANP1
879,ENSG00000214318,ATP5MC1P6
880,ENSG00000217314,UQCRFS1P3
881,ENSG00000206075,SERPINB5
882,ENSG00000172201,ID4
884,ENSG00000220575,HTR5A-AS1
885,ENSG00000248391,LINC02064
887,ENSG00000214012,KRT18P38
889,ENSG00000157219,HTR5A
890,ENSG00000232838,PET117
891,ENSG00000218643,RPL5P20
893,ENSG00000228412,LNC-LBCS
894,ENSG00000170667,RASA4B
896,ENSG00000116285,ERRFI1
898,ENSG00000180822,PSMG4
899,ENSG00000162438,CTRC
900,ENSG00000163794,UCN
902,ENSG00000280677,FAM66B
903,ENSG00000280638,CDH12P2
904,ENSG00000276084,KIR3DL3
908,ENSG00000214298,MRPS21P6
909,ENSG00000176971,FIBIN
910,ENSG00000138100,TRIM54
912,ENSG00000233135,RPS27P18
913,ENSG00000271043,MTRNR2L2
914,ENSG00000276378,DEFB108C
916,ENSG00000186440,OR6P1
918,ENSG00000274195,ZNF705G
921,ENSG00000118702,GHRH
922,ENSG00000228926,UQCRHP1
923,ENSG00000228716,DHFR
925,ENSG00000228701,TNKS2-AS1
